Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,creep_life
871,552,60.981,5.8,10,7,1.5,1,0,1.5,5,7,0.15,0,0,0.05,0.015,0,0.004,90.1
871,552,60.981,5.8,10,7,1.5,2,0,1.5,5,6,0.15,0,0,0.05,0.015,0,0.004,92.7
982,276,60.981,5.8,10,7,1.5,3,0,1.5,5,5,0.15,0,0,0.05,0.015,0,0.004,126.5
982,276,60.981,5.8,10,7,1.5,1,0,1.5,5,7,0.15,0,0,0.05,0.015,0,0.004,58.5
982,248,59.885,5,10,9,0,0,0,2,0,12,2,0,0,0.1,0,0,0.015,91
871,517,59.885,5,10,9,0,0,0,2,0,12,2,0,0,0.1,0,0,0.015,105
1093,138,59.885,5,10,9,0,0,0,2,0,12,2,0,0,0.1,0,0,0.015,30
1093,124,59.885,5,10,9,0,0,0,2,0,12,2,0,0,0.1,0,0,0.015,52
950,190,60.72,5.65,9.7,6.4,0.6,2.9,0,1,6.5,6.4,0.1,0,0,0.03,0,0,0,2438
950,165,60.67,5.7,9.5,6.5,0.6,3,0,0.6,6.7,6.5,0.2,0,0,0.025,0,0,0.005,5180
950,165,60.72,5.65,9.7,6.4,0.6,2.9,0,1,6.5,6.4,0.1,0,0,0.03,0,0,0,4760
950,250,60.72,5.65,9.7,6.4,0.6,2.9,0,1,6.5,6.4,0.1,0,0,0.03,0,0,0,1018
950,250,60.67,5.7,9.5,6.5,0.6,3,0,0.6,6.7,6.5,0.2,0,0,0.025,0,0,0.005,918
950,200,60.67,5.7,9.5,6.5,0.6,3,0,0.6,6.7,6.5,0.2,0,0,0.025,0,0,0.005,2203
982,248,62.5,5,5,10,0,0,0,1.5,12,4,0,0,0,0,0,0,0,33
871,517,62.5,5,5,10,0,0,0,1.5,12,4,0,0,0,0,0,0,0,40
871,379,62.447,4.2,7.5,9.7,1.5,0,0,3.5,4.8,6.1,0.2,0,0,0.05,0,0,0.003,69.2
982,179,62.447,4.2,7.5,9.7,1.5,0,0,3.5,4.8,6.1,0.2,0,0,0.05,0,0,0.003,65.6
760,621,62.447,4.2,7.5,9.7,1.5,0,0,3.5,4.8,6.1,0.2,0,0,0.05,0,0,0.003,184.4
982,248,63.2,5.5,10,7.5,2,2.9,0,0,3.9,4.9,0.1,0,0,0,0,0,0,164.7
982,276,61.281,6.5,10,5,1.5,2,0,0,7,6.5,0.15,0,0,0.05,0.015,0,0.004,91.9
982,276,61.281,6.5,10,5,1.5,3,0,0,7,5.5,0.15,0,0,0.05,0.015,0,0.004,94.7
871,552,61.281,6.5,10,5,1.5,2,0,0,7,6.5,0.15,0,0,0.05,0.015,0,0.004,97.1
871,552,61.281,6.5,10,5,1.5,3,0,0,7,5.5,0.15,0,0,0.05,0.015,0,0.004,74
1093,138,60.996,5.8,7.5,8,3,4.5,0,5,5,0,0.15,0,0,0.05,0,0,0.004,57.4
982,276,60.996,5.8,7.5,8,3,4.5,0,5,5,0,0.15,0,0,0.05,0,0,0.004,43.8
871,552,60.996,5.8,7.5,8,3,4.5,0,5,5,0,0.15,0,0,0.05,0,0,0.004,85.6
850,500,60.2,5.6,5,8,0.6,0,0,1,6,8,5.6,0,0,0,0,0,0,450
1100,120,60.2,5.6,5,8,0.6,0,0,1,6,8,5.6,0,0,0,0,0,0,166
950,240,60.2,5.6,5,8,0.6,0,0,1,6,8,5.6,0,0,0,0,0,0,380
1050,140,60.2,5.6,5,8,0.6,0,0,1,6,8,5.6,0,0,0,0,0,0,270
1040,137,64.123,4.74,4.51,7.2,0.8,1.38,0,0,8.38,6.89,0.25,1.64,0,0.061,0,0,0.026,275.3
982,179,62.6957,4.2,7.5,9.7,1.5,0,0,3.5,4.7,6,0.15,0,0,0.05,0,0,0.0043,50
871,379,62.6957,4.2,7.5,9.7,1.5,0,0,3.5,4.7,6,0.15,0,0,0.05,0,0,0.0043,133.8
760,621,62.6957,4.2,7.5,9.7,1.5,0,0,3.5,4.7,6,0.15,0,0,0.05,0,0,0.0043,92.5
982,179,62.9524,4.2,7.4,9.6,1.5,0,0,3.4,4.7,6,0.19,0,0,0.05,0,0,0.0076,98.1
760,621,62.9524,4.2,7.4,9.6,1.5,0,0,3.4,4.7,6,0.19,0,0,0.05,0,0,0.0076,92.4
871,379,62.9524,4.2,7.4,9.6,1.5,0,0,3.4,4.7,6,0.19,0,0,0.05,0,0,0.0076,54.1
871,552,61.781,6.5,10,5,1.5,4,0,0,7,4,0.15,0,0,0.05,0.015,0,0.004,113.1
982,276,61.781,6.5,10,5,1.5,4,0,0,7,4,0.15,0,0,0.05,0.015,0,0.004,119.8
1040,137,65.126,4.95,1.01,7.45,0.83,2.86,0,0,8.7,7.08,0.29,1.61,0,0.069,0,0,0.025,244.8
1040,137,64.956,5.17,1.01,9.79,0.84,1.46,0,0,8.88,6.63,0.29,0.87,0,0.075,0,0,0.029,220.3
1040,137,65.394,4.75,0.98,7.79,0.88,1.57,0,0,8.18,9.35,0.21,0.81,0,0.062,0,0,0.024,580.9
1040,137,65.083,5.18,1.01,7.27,0.83,1.43,0,0,11.83,7,0.28,0,0,0.061,0,0,0.026,328.3
982,276,62.646,5.75,7.5,8,0.5,3,0,1.5,5,5.9,0.15,0,0,0.05,0,0,0.004,44.5
1093,138,62.646,5.75,7.5,8,0.5,3,0,1.5,5,5.9,0.15,0,0,0.05,0,0,0.004,45.5
871,552,62.646,5.75,7.5,8,0.5,3,0,1.5,5,5.9,0.15,0,0,0.05,0,0,0.004,87
1040,137,65.605,4.85,2.31,7.36,0.82,1.41,0,0,8.57,7.05,0.26,1.68,0,0.06,0,0,0.025,298.7
1040,137,65.312,5.15,1.01,7.35,0.83,2.87,0,0,9.5,6.79,0.25,0.85,0,0.061,0,0,0.027,433.4
